baslik,konum,fiyat,ilan_tarihi,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,cekis,arac_durumu,ortalama_yakit_tuketimi,yakit_deposu,boya_degisen,takasa_uygun,kimden,tramer
Sahibinden Volkswagen Polo 1.2 TDi BlueMotion 2012 Model,"Efendibey Mh. Merkez, Niğde",595.000 TL,27 Haziran 2025,Volkswagen,Polo,1.2 TDi BlueMotion,2012,306.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1199 cc,75 hp,Önden Çekiş,İkinci El,,45 lt,1 boyalı,,Sahibinden,
Galeriden BMW 1 Serisi 116i M Sport 2016 Model Ordu,"Fevzi Çakmak Mh. Ünye, Ordu",1.275.000 TL,15 Ağustos 2025,BMW,1 Serisi,116i M Sport,2016,192.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,2 boyalı,Takasa Uygun Değil,Galeriden,
Sahibinden Peugeot 307 1.6 Pack 2004 Model,"Fatih Mh. Fatsa, Ordu",425.000 TL,03 Ağustos 2025,Peugeot,307,1.6 Pack,2004,218.122 km,Düz,Benzin,Hatchback/5,Yeşil (metalik),1587 cc,110 hp,Önden Çekiş,İkinci El,"7,2 lt",60 lt,7 boyalı,,Sahibinden,
Sahibinden Peugeot 206+ 1.4 Urban Move 2012 Model Ordu,"Merkez Ünye, Ordu",425.000 TL,08 Temmuz 2025,Peugeot,206+,1.4 Urban Move,2012,82.000 km,Düz,Benzin,Hatchback/5,Siyah,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,3 lt",50 lt,"1 değişen, 6 boyalı",,Sahibinden,
Sahibinden Mercedes - Benz CLA 180 D AMG 2016 Model,"Eminettin Mh. Merkez, Rize",1.900.000 TL,10 Ağustos 2025,Mercedes - Benz,CLA,180 D AMG,2016,73.000 km,Otomatik,Dizel,Coupe,Beyaz,1461 cc,109 hp,Önden Çekiş,İkinci El,"3,8 lt",50 lt,Tamamı orjinal,,Sahibinden,
Sahibinden Tofaş Kartal S 1996 Model,"Paşakuyu Mh. Merkez, Rize",235.000 TL,23 Haziran 2025,Tofaş,Kartal,S,1996,53.000 km,Düz,Benzin,Station wagon,Diğer,,,,İkinci El,,,Belirtilmemiş,,Sahibinden,
Düşük km kuruş masrafı yok çok temiz,"Yalı Mh. Karasu, Sakarya",330.000 TL,19 Ağustos 2025,Chevrolet,Aveo,1.2 SE,2008,186.000 km,Düz,Benzin,Hatchback/5,Kırmızı,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
2023 İ20 1.0 T-GDI STYLE HATASIZ 1.29 ORANLA KREDİ İMKANI,"Küpçüler Mh. Erenler, Sakarya",1.240.000 TL,14 Ağustos 2025,Hyundai,i20,1.0 T-GDI Style,2023,39.438 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
DD MOTORS %1.19 ORAN 12 TAKSİT FIRSATI HATASIZ OTOMATİK B 180D,"Şeker Mh. Adapazarı, Sakarya",1.320.000 TL,09 Ağustos 2025,Mercedes - Benz,B,B 180 d Urban,2016,148.000 km,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,
_2016 Honda Civic 108 Binde_Hatasız Boyasız_Yeni Kasa_Executive_,"Merkez Geyve, Sakarya",1.445.000 TL,02 Ağustos 2025,Honda,Civic,1.6 i-VTEC Eco Executive,2016,108.000 km,Otomatik,Benzin,Sedan,Füme,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
KAMER DEN 2019 FİAT EGEA HB 1.6 E-TORQ URBAN PLUS BENZİN OTM.,"Kirazlık Mh. Tekkeköy, Samsun",978.000 TL,19 Ağustos 2025,Fiat,Egea,1.6 E-Torq Urban Plus,2019,89.995 km,Otomatik,Benzin,Hatchback/5,Gri,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden,8874.0
2021 PEUGEOT 308 - BOYASIZ - OTOMATİK -CAM TAVAN - 52 BİN KM -,"Toybelen Mh. İlkadım, Samsun",1.210.000 TL,16 Ağustos 2025,Peugeot,308,1.2 PureTech Style Tech,2021,52.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden BMW 1 Serisi 118i Pure 2017 Model,"Yenimahalle Mh. Atakum, Samsun",1.170.000 TL,13 Ağustos 2025,BMW,1 Serisi,118i Pure,2017,91.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1499 cc,136 hp,Arkadan İtiş,İkinci El,"5,2 lt",52 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,
Sahibinden Skoda Fabia 1.4 Ambiente Dynamic 2011 Model,"Fevzi Çakmak Mh. İlkadım, Samsun",605.000 TL,08 Ağustos 2025,Skoda,Fabia,1.4 Ambiente Dynamic,2011,133.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1390 cc,85 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,1 boyalı,Takasa Uygun,Sahibinden,
Sahibinden Renault Clio 1.5 dCi Joy 2017 Model,"Gelincik Mh. Merkez, Sinop",665.000 TL,11 Ağustos 2025,Renault,Clio,1.5 dCi Joy,2017,132.000 km,Düz,Dizel,Hatchback/5,Beyaz,1461 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,"2 değişen, 2 boyalı",Takasa Uygun,Sahibinden,
Sahibinden Toyota Corolla 1.6 Terra 2005 Model,"Kemalpaşa Mh. Suşehri, Sivas",555.000 TL,18 Ağustos 2025,Toyota,Corolla,1.6 Terra,2005,245.000 km,Düz,Benzin,Hatchback/3,Füme,1598 cc,110 hp,Önden Çekiş,İkinci El,7 lt,55 lt,"1 değişen, 7 boyalı",,Sahibinden,
1994 MODEL OPEL ASTRA 1.6 OTOMATİK VİTES,"Gültepe Mh. Merkez, Sivas",278.000 TL,08 Ağustos 2025,Opel,Astra,1.6 GL,1994,233.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1598 cc,75 hp,Önden Çekiş,İkinci El,,52 lt,2 değişen,Takasa Uygun,Galeriden,
Sahibinden Tofaş Şahin 1.6 1995 Model,"Camiorta Mh. Suşehri, Sivas",195.000 TL,23 Temmuz 2025,Tofaş,Şahin,1.6,1995,200.000 km,Düz,LPG & Benzin,Sedan,Beyaz,,,,İkinci El,,,1 değişen,,Sahibinden,
Memurdan Hatasız Boyasız ilk plakalı İbiza,"Gültekin Mh. Şarkışla, Sivas",695.000 TL,03 Temmuz 2025,Seat,Ibiza,1.4 Reference,2014,156.694 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1390 cc,85 hp,Önden Çekiş,İkinci El,"5,9 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Volkswagen Passat 1.6 TDi BlueMotion Comfortline 2014 Model  232.000 km Siyah,"Kızılpınar Mh. Çerkezköy, Tekirdağ",1.225.000 TL,20 Ağustos 2025,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,232.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,İkinci El,4 lt,66 lt,Tamamı orjinal,,Sahibinden,
Ercan otomotiv den audi A4 sedan 1.4 tfsi sport,"Yıldırım Beyazıt Mh. Çerkezköy, Tekirdağ",1.620.000 TL,17 Ağustos 2025,Audi,A4,A4 Sedan 1.4 TFSI Sport,2017,242.000 km,Otomatik,Benzin,Sedan,Gri,1201 - 1400 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,8.0
2023 CLİO 1.0 TCE TOUCH MANUEL HATASIZ BOYASIZ TRAMERSZ 72.000KM,"Veliköy Mh. Çerkezköy, Tekirdağ",949.900 TL,13 Ağustos 2025,Renault,Clio,1.0 TCe Touch,2023,72.000 km,Düz,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,76 - 100 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Volkswagen VW CC 1.4 TSi 2016 Model  208.000 km Gri (metalik),"Çobançeşme Mh. Çorlu, Tekirdağ",1.125.000 TL,07 Ağustos 2025,Volkswagen,VW CC,1.4 TSi,2016,208.000 km,Yarı Otomatik,Benzin,Coupe,Gri (metalik),1395 cc,150 hp,Önden Çekiş,İkinci El,"5,6 lt",70 lt,3 boyalı,,Sahibinden,
Sahibinden Ford Focus 1.6 TDCi Trend 2008 Model,"Ziyagökalp Mh. Erbaa, Tokat",530.000 TL,17 Ağustos 2025,Ford,Focus,1.6 TDCi Trend,2008,260.000 km,Düz,Dizel,Hatchback/3,Mavi,1560 cc,110 hp,Önden Çekiş,İkinci El,"4,8 lt",55 lt,1 değişen,,Sahibinden,
2004 DEGİŞENSİZ BAKIMLI EMSALSİZ TEMİZLİKTE GÜNEŞ YANIKSIZ,"Mahmutpaşa Mh. Merkez, Tokat",545.000 TL,07 Ağustos 2025,Toyota,Corolla,1.6 Terra,2004,256.000 km,Düz,Benzin,Sedan,Gri,1598 cc,110 hp,Önden Çekiş,İkinci El,"6,5 lt",55 lt,7 boyalı,Takasa Uygun,Galeriden,
Sahibinden Renault Clio 1.5 dCi Authentique 2004 Model,"Alipaşa Mh. Merkez, Tokat",325.000 TL,11 Temmuz 2025,Renault,Clio,1.5 dCi Authentique,2004,266.500 km,Düz,Dizel,Hatchback/5,Bordo,1461 cc,65 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,11 boyalı,Takasa Uygun,Sahibinden,
YVZ CARS 2016 4.18i M SPORT-M4FAR-LCI STOP-ISITMA-NBT-COIL-19'',"Söğütlü Mh. Akçaabat, Trabzon",1.915.000 TL,19 Ağustos 2025,BMW,4 Serisi,418i M Sport,2016,102.000 km,Otomatik,Benzin,Coupe,Mavi,1401 - 1600 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Peugeot 206 1.4 HDi X-Design 2006 Model,"Sulaklı Mh. Of, Trabzon",315.000 TL,06 Ağustos 2025,Peugeot,206,1.4 HDi X-Design,2006,267.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1398 cc,69 hp,Önden Çekiş,İkinci El,"4,3 lt",50 lt,"2 değişen, 7 boyalı",Takasa Uygun,Sahibinden,
Sahibinden Tofaş Doğan SLX 1994 Model,"Sulaklı Mh. Of, Trabzon",200.000 TL,20 Temmuz 2025,Tofaş,Doğan,SLX,1994,372.000 km,Düz,LPG & Benzin,Sedan,Gri,1581 cc,83 hp,Arkadan İtiş,İkinci El,,50 lt,Belirtilmemiş,,Sahibinden,
Renault Symbol 1.5 dCi 2008 Model,"Sulaklı Mh. Of, Trabzon",355.555 TL,25 Haziran 2025,Renault,Symbol,1.5 dCi Authentique,2008,251.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,65 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,2 boyalı,,Sahibinden,
Sahibinden Renault Symbol 1.5 dCi Expression 2011 Model,"Akpınar Mh. Karaköprü, Şanlıurfa",410.000 TL,19 Ağustos 2025,Renault,Symbol,1.5 dCi Expression,2011,214.000 km,Düz,Dizel,Sedan,Gri (metalik),1461 cc,65 hp,Önden Çekiş,İkinci El,"4,5 lt",50 lt,"3 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,
Yer uçağı satışda,"Karadut Mh. Suruç, Şanlıurfa",440.000 TL,14 Ağustos 2025,Volkswagen,Passat,2.0 TDi Comfortline,2006,455.000 km,Otomatik,Dizel,Sedan,Gri,1801 - 2000 cm3,126 - 150 HP,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,18.0
ACİLL UYGUN FİYAT YETİŞEN ALIR!!!,"Ayvanat Mh. Siverek, Şanlıurfa",1.095.000 TL,09 Ağustos 2025,BMW,3 Serisi,320d xDrive Sport Line,2013,260.000 km,Otomatik,Dizel,Sedan,Beyaz,1995 cc,184 hp,4WD (Sürekli),İkinci El,"4,7 lt",57 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,60000.0
TERTEMİZ YAKIT CİMRİSİ AİLE ARACI,"Narlıkuyu Mh. Karaköprü, Şanlıurfa",340.000 TL,30 Temmuz 2025,Hyundai,Getz,1.3 GLS,2005,277.500 km,Düz,LPG & Benzin,Hatchback/5,Diğer,1341 cc,82 hp,Önden Çekiş,İkinci El,"6,2 lt",45 lt,4 boyalı,,Sahibinden,
CANCAR AUTOLİFE MB C 180 BLUEEFFICIENCY AMG 7G-TRONİC HATASIZ,"Sarayaltı Mh. Merkez, Uşak",1.285.000 TL,14 Ağustos 2025,Mercedes - Benz,C,C 180 BlueEFFICIENCY AMG,2011,258.000 km,Otomatik,Benzin,Sedan,Beyaz,1601 - 1800 cm3,151 - 175 HP,Arkadan İtiş,İkinci El,,,Belirtilmemiş,Takasa Uygun,Galeriden,
Kalkan Otomotivden Opel Vectra 2007 model,"Fevzi Çakmak Mh. Merkez, Uşak",490.000 TL,13 Temmuz 2025,Opel,Vectra,1.6 Comfort,2007,308.000 km,Düz,Benzin,Sedan,Gri,1598 cc,105 hp,Önden Çekiş,İkinci El,"6,9 lt",61 lt,"1 değişen, 12 boyalı",Takasa Uygun,Galeriden,
"3. sahibiyim, 17 yıldır kullanıyorum....","Vali Mithat Bey Mh. İpekyolu, Van",340.000 TL,17 Ağustos 2025,Toyota,Corolla,1.6 XLi,1998,207.000 km,Düz,LPG & Benzin,Sedan,Bordo,1587 cc,105 hp,Önden Çekiş,İkinci El,,50 lt,2 değişen,,Sahibinden,
Sahibinden Volkswagen Passat 1.4 TSi BlueMotion Comfortline 2015 Model,"İstasyon Mh. Tuşba, Van",1.170.000 TL,08 Ağustos 2025,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015,179.500 km,Düz,Benzin,Sedan,Beyaz,1395 cc,125 hp,Önden Çekiş,İkinci El,"5,3 lt",66 lt,5 boyalı,-,Sahibinden,
Sahibinden Fiat Egea 1.4 Fire Urban Plus 2020 Model,"Eminpaşa Mh. Edremit, Van",745.000 TL,23 Temmuz 2025,Fiat,Egea,1.4 Fire Urban Plus,2020,87.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1368 cc,95 hp,Önden Çekiş,İkinci El,"5,7 lt",45 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,
Sahibinden Mercedes - Benz 200 E 1990 Model,"Erdemkent Mh. Edremit, Van",315.000 TL,02 Temmuz 2025,Mercedes - Benz,200,E,1990,375.000 km,Düz,LPG & Benzin,Sedan,Siyah,1997 cc,118 hp,Arkadan İtiş,İkinci El,,70 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Opel Vectra 2.0 GL 1993 Model,"Yenidoğan Mh. Sorgun, Yozgat",250.000 TL,16 Ağustos 2025,Opel,Vectra,2.0 GL,1993,345.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1998 cc,115 hp,Önden Çekiş,İkinci El,,,Belirtilmemiş,,Sahibinden,
Sahibinden Ford Fiesta 1.4 Comfort TDCİ 2006 Model,"Hanbaşı Mh. Sorgun, Yozgat",370.000 TL,04 Ağustos 2025,Ford,Fiesta,1.4 Comfort,2006,225.000 km,Düz,Dizel,Hatchback/5,Beyaz,1388 cc,80 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,"3 değişen, 2 boyalı",Takasa Uygun,Sahibinden,
Sahibinden Skoda Favorit 135 LX 1994 Model,"Eskipazar Mh. Merkez, Yozgat",135.000 TL,06 Temmuz 2025,Skoda,Favorit,135 LX,1994,224.100 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1289 cc,54 hp,Önden Çekiş,İkinci El,,47 lt,Tamamı boyalı,Takasa Uygun,Sahibinden,
pazarlıksız son fiyat,"Bahçelievler Mh. Merkez, Zonguldak",275.000 TL,17 Ağustos 2025,Renault,Clio,1.4 RNA,2000,213.000 km,Düz,LPG & Benzin,Sedan,Mavi,1390 cc,75 hp,Önden Çekiş,İkinci El,"7,1 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
Sahibinden Hyundai Accent 1.5 CRDi Admire 2006 Model,"Ahatlı Köyü (Ellezli Mh.) Çaycuma, Zonguldak",300.000 TL,04 Ağustos 2025,Hyundai,Accent,1.5 CRDi Admire,2006,301.000 km,Düz,Dizel,Sedan,Beyaz,1493 cc,82 hp,Önden Çekiş,İkinci El,"5,5 lt",45 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,
Sahibinden Hyundai Accent 1.5 CRDi Admire 2005 Model,"Topçalı Mh. Ereğli, Zonguldak",320.000 TL,02 Temmuz 2025,Hyundai,Accent,1.5 CRDi Admire,2005,315.600 km,Düz,Dizel,Sedan,Gri,1493 cc,82 hp,Önden Çekiş,İkinci El,,45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
Sahibinden Opel Vectra 2.0 GLS 1992 Model,"Nurgöz Köyü Merkez, Aksaray",140.000 TL,18 Ağustos 2025,Opel,Vectra,2.0 GLS,1992,360.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1998 cc,115 hp,Önden Çekiş,İkinci El,,,Tamamı boyalı,,Sahibinden,
2015 VW POLO 1.4TDI TRENDLİNE HATASIZ DEĞİŞENSİZ EXTRALI,"Hacılarharmanı Mh. Merkez, Aksaray",675.000 TL,10 Ağustos 2025,Volkswagen,Polo,1.4 TDi Trendline,2015,183.000 km,Düz,Dizel,Hatchback/5,Beyaz,1422 cc,75 hp,Önden Çekiş,İkinci El,"3,6 lt",45 lt,3 boyalı,Takasa Uygun Değil,Galeriden,
Sahibinden Renault Megane 1.5 dCi Dynamique 2006 Model,"Cumhuriyet Mh. Merkez, Aksaray",419.000 TL,21 Temmuz 2025,Renault,Megane,1.5 dCi Dynamique,2006,282.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,80 hp,Önden Çekiş,İkinci El,"4,6 lt",60 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Ford Fiesta 1.4 chia 2005 Model,"Gençosman Mh. Merkez, Bayburt",375.000 TL,10 Ağustos 2025,Ford,Fiesta,1.4 Comfort,2005,214.000 km,Düz,Benzin,Hatchback/3,Gri,1388 cc,80 hp,Önden Çekiş,İkinci El,"6,4 lt",45 lt,Belirtilmemiş,,Sahibinden,
Bakımlı ve Sorunsuz,"Tabduk Emre Mh. Merkez, Karaman",330.000 TL,22 Temmuz 2025,Citroen,C3,1.4 SX,2005,269.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1360 cc,76 hp,Önden Çekiş,İkinci El,"6,1 lt",47 lt,"2 değişen, 4 boyalı",,Sahibinden,
98 PASSAT OTOMATİK VİTES,"Bağlarbaşı Mh. Merkez, Kırıkkale",220.000 TL,14 Ağustos 2025,Volkswagen,Passat,1.8 Comfortline,1998,311.741 km,Otomatik,Benzin,Sedan,Gri,1781 cc,125 hp,Önden Çekiş,İkinci El,9 lt,62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,
Sahibinden Renault Fluence 1.5 dCi Icon 2016 Model,"Etiler Mh. Merkez, Kırıkkale",900.000 TL,16 Temmuz 2025,Renault,Fluence,1.5 dCi Icon,2016,196.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"4,4 lt",60 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Suzuki Swift 1.3 MT 2010 Model,"Gültepe Mh. Merkez, Batman",450.000 TL,11 Ağustos 2025,Suzuki,Swift,1.3 MT,2010,156.000 km,Düz,Benzin,Hatchback/5,Beyaz,1328 cc,93 hp,Önden Çekiş,İkinci El,6 lt,43 lt,6 boyalı,,Sahibinden,
Sahibinden Seat Toledo 1.8 Signo 2001 Model,"Bahçelievler Mh. Merkez, Batman",280.000 TL,10 Temmuz 2025,Seat,Toledo,1.8 Signo,2001,300.000 km,Düz,LPG & Benzin,Sedan,Mavi (metalik),1781 cc,125 hp,Önden Çekiş,İkinci El,"8,4 lt",55 lt,"1 değişen, 4 boyalı",,Sahibinden,
Sahibinden Opel Astra 1.6 Enjoy Plus 2011 Model,"Şehrinuh Mh. Merkez, Şırnak",635.500 TL,16 Temmuz 2025,Opel,Astra,1.6 Enjoy Plus,2011,172.000 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,8 lt",52 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,
Sahibinden Tofaş Doğan L 1992 Model,"Kurt Köyü Merkez, Bartın",145.000 TL,16 Temmuz 2025,Tofaş,Doğan,L,1992,42.000 km,Düz,LPG & Benzin,Sedan,Bordo,1581 cc,83 hp,Arkadan İtiş,İkinci El,"6,5 lt",50 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Volkswagen Passat 1.6 Comfortline 2006 Model  320.000 km Siyah,"Hasanbaba Mh. Çınarcık, Yalova",590.000 TL,21 Ağustos 2025,Volkswagen,Passat,1.6 Comfortline,2006,320.000 km,Düz,Benzin,Sedan,Siyah,1595 cc,102 hp,Önden Çekiş,İkinci El,8 lt,70 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,
Sahibinden Toyota Yaris 1.0 Life 2014 Model,"İsmet Paşa Mh. Merkez, Yalova",415.000 TL,22 Temmuz 2025,Toyota,Yaris,1.0 Life,2014,130.000 km,Düz,Benzin,Hatchback/5,Beyaz,998 cc,69 hp,Önden Çekiş,İkinci El,"4,3 lt",42 lt,Belirtilmemiş,,Sahibinden,
Sahibinden Toyota Corolla 1.4 D-4D Elegant 2008 Model,"Emek Mh. Safranbolu, Karabük",650.000 TL,12 Ağustos 2025,Toyota,Corolla,1.4 D-4D Elegant,2008,247.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1364 cc,90 hp,Önden Çekiş,İkinci El,"4,9 lt",55 lt,Belirtilmemiş,,Sahibinden,
ARE GROUP'DAN-2024-FORD-FOCUS-1.5-EcoBlue-TREND X,"Doğan Güreş Paşa Mh. Merkez, Kilis",1.485.000 TL,20 Ağustos 2025,Ford,Focus,1.5 TDCi Trend X,2024,17.000 km,Otomatik,Dizel,Sedan,Mavi,1500 cc,115 hp,Önden Çekiş,İkinci El,"4,5 lt",47 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,
Renault toros 1995 model,"Dumlupınar Mh. Merkez, Osmaniye",137.800 TL,20 Ağustos 2025,Renault,R 12,Toros,1995,240.000 km,Düz,Benzin,Sedan,Beyaz,1397 cc,72 hp,Önden Çekiş,İkinci El,,,Tamamı orjinal,Takasa Uygun,Galeriden,
58 BİNDE İLK SAHİBİNDEN (ELİT PAKET),"Cemalpaşa Mh. Kadirli, Osmaniye",830.000 TL,13 Ağustos 2025,Hyundai,i20,1.2 MPI Style,2015,58.000 km,Düz,Benzin,Hatchback/5,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,14000.0
Sahibinden Seat Leon 1.6 TDI CR Style 2017 Model,"İslam Mh. Bahçe, Osmaniye",990.000 TL,28 Temmuz 2025,Seat,Leon,1.6 TDI CR Style,2017,225.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,,,,İkinci El,,,"2 değişen, 1 boyalı",,Sahibinden,
Sahibinden 1997 Model 1.4 RN Temiz Broadway,"Ali Bekirli Mh. Merkez, Osmaniye",270.000 TL,25 Haziran 2025,Renault,R 9,1.4 Broadway RN,1997,332.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1390 cc,83 hp,Önden Çekiş,İkinci El,,47 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,
Sahibinden Tofaş Şahin 1.6 1991 Model,"Ayazlı Mh. Akçakoca, Düzce",95.000 TL,13 Ağustos 2025,Tofaş,Şahin,1.6,1991,62.000 km,Düz,LPG & Benzin,Sedan,Siyah,1581 cc,,Arkadan İtiş,İkinci El,,52 lt,Tamamı boyalı,,Sahibinden,
Düşük Km Hatasız Ayarinda,"Merkez Merkez, Düzce",785.000 TL,27 Temmuz 2025,Fiat,Egea,1.3 Multijet Easy,2019,134.000 km,Düz,Dizel,Sedan,Beyaz,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,İkinci El,,,2 boyalı,Takasa Uygun,Galeriden,2.0
ÖZER OTOMOTİVDEN 1994 MERCEDES C180 SANRUFLU KLİMA OTOMATİK,"Merkez Merkez, Düzce",365.000 TL,13 Mart 2025,Mercedes - Benz,C,C 180 Elegance,1994,330.000 km,Otomatik,LPG & Benzin,Sedan,Mavi,1601 - 1800 cm3,126 - 150 HP,Arkadan İtiş,İkinci El,,,11 boyalı,Takasa Uygun,Galeriden,
